Design Signal Pad Name,IO Power Group,PUPD State During HHV,PUPD State After HHV,IO Power Supply Name,IO Power Setting,Required Voltage Level,Ball Name,Mode Interface Name,Mode Signal Name,Mode Type,User Checked PU,User Checked PD,User Checked RX,User Requirement Name
gpmc_a27,mmc2,PD,PD,vddshv11,1.8,1.8,H5,MMC2,mmc2_dat3,,true,false,true,MMC2_EMMC
gpmc_a19,mmc2,PD,PD,vddshv11,1.8,1.8,K7,MMC2,mmc2_dat4,,true,false,true,MMC2_EMMC
gpmc_a20,mmc2,PD,PD,vddshv11,1.8,1.8,M7,MMC2,mmc2_dat5,,true,false,true,MMC2_EMMC
gpmc_a21,mmc2,PD,PD,vddshv11,1.8,1.8,J5,MMC2,mmc2_dat6,,true,false,true,MMC2_EMMC
gpmc_a22,mmc2,PD,PD,vddshv11,1.8,1.8,K6,MMC2,mmc2_dat7,,true,false,true,MMC2_EMMC
uart1_ctsn,mmc4,PU,PU,vddshv4,3.3,3.3,E25,MMC4,mmc4_clk,,true,false,true,MMC4_WIFI
uart1_rtsn,mmc4,PU,PU,vddshv4,3.3,3.3,C27,MMC4,mmc4_cmd,,true,false,true,MMC4_WIFI
uart2_rxd,mmc4,PU,PU,vddshv4,3.3,3.3,D28,MMC4,mmc4_dat0,,true,false,true,MMC4_WIFI
uart2_txd,mmc4,PU,PU,vddshv4,3.3,3.3,D26,MMC4,mmc4_dat1,,true,false,true,MMC4_WIFI
uart2_ctsn,mmc4,PU,PU,vddshv4,3.3,3.3,D27,MMC4,mmc4_dat2,,true,false,true,MMC4_WIFI
uart2_rtsn,mmc4,PU,PU,vddshv4,3.3,3.3,C28,MMC4,mmc4_dat3,,true,false,true,MMC4_WIFI
rstoutn,general,PD,drive 0 (OFF),vddshv3,3.3,3.3,F23,PRCM,rstoutn,,true,false,false,MyPRCM1
resetn,general,PU,PU,vddshv3,3.3,3.3,E23,PRCM,resetn,,true,false,true,MyPRCM1
vin2a_d4,vin2,PD,PD,vddshv1,1.8,1.8,D2,PRUSS1_PRU1,pr1_pru1_gpi1,,false,false,true,PR1_PRU1
vin2a_d5,vin2,PD,PD,vddshv1,1.8,1.8,F4,PRUSS1_PRU1,pr1_pru1_gpi2,,false,false,true,PR1_PRU1
vin2a_d19,vin2,PD,PD,vddshv1,1.8,1.8,A3,PRUSS1_PRU1,pr1_pru1_gpi16,,false,false,true,PR1_PRU1
vin2a_d21,vin2,PD,PD,vddshv1,1.8,1.8,B4,PRUSS1_PRU1,pr1_pru1_gpi18,,false,false,true,PR1_PRU1
vout1_d4,vout1,PD,PD,vddshv2,3.3,3.3,E9,PRUSS2_PRU0,pr2_pru0_gpi1,,false,false,true,PR2_PRU0
vout1_d5,vout1,PD,PD,vddshv2,3.3,3.3,F9,PRUSS2_PRU0,pr2_pru0_gpi2,,false,false,true,PR2_PRU0
vout1_d6,vout1,PD,PD,vddshv2,3.3,3.3,F8,PRUSS2_PRU0,pr2_pru0_gpi3,,false,false,true,PR2_PRU0
vout1_d7,vout1,PD,PD,vddshv2,3.3,3.3,E7,PRUSS2_PRU0,pr2_pru0_gpi4,,false,false,true,PR2_PRU0
vout1_d19,vout1,PD,PD,vddshv2,3.3,3.3,A8,PRUSS2_PRU0,pr2_pru0_gpi16,,false,false,true,PR2_PRU0
vout1_d20,vout1,PD,PD,vddshv2,3.3,3.3,C9,PRUSS2_PRU0,pr2_pru0_gpi17,,false,false,true,PR2_PRU0
vout1_d21,vout1,PD,PD,vddshv2,3.3,3.3,A9,PRUSS2_PRU0,pr2_pru0_gpi18,,false,false,true,PR2_PRU0
vout1_d22,vout1,PD,PD,vddshv2,3.3,3.3,B9,PRUSS2_PRU0,pr2_pru0_gpi19,,false,false,true,PR2_PRU0
rtc_porz,rtc,-,-,vddshv5,3.3,3.3,AB17,RTCSS,rtc_porz,,false,false,true,MyRTCSS1
on_off,rtc,PU,PU,vddshv5,3.3,3.3,Y11,RTCSS,on_off,,false,false,false,MyRTCSS1
mcasp1_axr8,general,PD,PD,vddshv3,3.3,3.3,B12,SPI3,spi3_sclk,,false,false,false,SPI3
mcasp1_axr10,general,PD,PD,vddshv3,3.3,3.3,B13,SPI3,spi3_d0,,false,false,true,SPI3
mcasp1_axr9,general,PD,PD,vddshv3,3.3,3.3,A11,SPI3,spi3_d1,,false,false,true,SPI3
mcasp1_axr11,general,PD,PD,vddshv3,3.3,3.3,A12,SPI3,spi3_cs0,,false,false,false,SPI3
uart1_rxd,mmc4,PU,PU,vddshv4,3.3,3.3,B27,UART1,uart1_rxd,,false,false,true,UART1_CONSOLE
uart1_txd,mmc4,PU,PU,vddshv4,3.3,3.3,C26,UART1,uart1_txd,,false,false,false,UART1_CONSOLE
gpmc_a4,gpmc,PD,PD,vddshv10,3.3,3.3,P6,UART6,uart6_rxd,,false,false,true,UART6_BLUETOOTH
gpmc_a5,gpmc,PD,PD,vddshv10,3.3,3.3,R9,UART6,uart6_txd,,false,false,false,UART6_BLUETOOTH
gpmc_a6,gpmc,PD,PD,vddshv10,3.3,3.3,R5,UART6,uart6_ctsn,,false,false,true,UART6_BLUETOOTH
gpmc_a7,gpmc,PD,PD,vddshv10,3.3,3.3,P5,UART6,uart6_rtsn,,false,false,false,UART6_BLUETOOTH
gpio6_14,general,PU,PU,vddshv3,3.3,3.3,E21,UART10,uart10_rxd,,false,false,true,UART10_CAPE
gpio6_15,general,PU,PU,vddshv3,3.3,3.3,F20,UART10,uart10_txd,,false,false,false,UART10_CAPE
mcasp3_axr0,general,PD,PD,vddshv3,3.3,3.3,B19,UART5,uart5_rxd,,false,false,true,UART5_CAPE
mcasp3_axr1,general,PD,PD,vddshv3,3.3,3.3,C17,UART5,uart5_txd,,false,false,false,UART5_CAPE
usb1_dp,usb1,OFF,OFF,vdda33v_usb1,3.3,3.3,AD12,USB1,usb1_dp,,false,false,true,USB1_TYPEC
usb1_dm,usb1,OFF,OFF,vdda33v_usb1,3.3,3.3,AC12,USB1,usb1_dm,,false,false,true,USB1_TYPEC
usb1_drvvbus,vin1,PD,PD,vddshv6,3.3,3.3,AB10,USB1,usb1_drvvbus,,false,false,false,USB1_TYPEC
usb_rxn0,usb1,OFF,OFF,vdda_usb1,1.8,3.3,AF12,USB1,usb_rxn0,,false,false,true,USB1_TYPEC
usb_rxp0,usb1,OFF,OFF,vdda_usb1,1.8,3.3,AE12,USB1,usb_rxp0,,false,false,true,USB1_TYPEC
usb_txn0,usb1,-,-,vdda_usb1,1.8,3.3,AC11,USB1,usb_txn0,,false,false,false,USB1_TYPEC
usb_txp0,usb1,-,-,vdda_usb1,1.8,3.3,AD11,USB1,usb_txp0,,false,false,false,USB1_TYPEC
usb2_dp,usb2,-,-,vdda33v_usb2,3.3,3.3,AE11,USB2,usb2_dp,,false,false,true,USB2_TYPEA
usb2_dm,usb2,-,-,vdda33v_usb2,3.3,3.3,AF11,USB2,usb2_dm,,false,false,true,USB2_TYPEA
usb2_drvvbus,vin1,PD,PD,vddshv6,3.3,3.3,AC10,USB2,usb2_drvvbus,,false,true,false,USB2_TYPEA
